seed	community	size	black	black_proportions	death	death_proportions	doom	doom_proportions	electronic	electronic_proportions	experimental	experimental_proportions	folk	folk_proportions	gothic	gothic_proportions	grindcore	grindcore_proportions	groove	groove_proportions	heavy	heavy_proportions	metalcore	metalcore_proportions	power	power_proportions	progressive	progressive_proportions	speed	speed_proportions	symphonic	symphonic_proportions	thrash	thrash_proportions	other	other_proportions	0-24	25-49	50-74	75-99	100-124	125-149	150-174	175-199	200-224	225-249	250-274	275-299	300-324	325-349	350-374	375-399	400-424	425-449	450-474	475-499	500-524	525-549	country_Brazil	country_Canada	country_Czechia	country_United States	country_Italy	country_Poland	country_Finland	country_Türkiye	country_Russia	country_Australia	country_Mexico	country_Belarus	country_Thailand	country_Japan	country_France	country_Germany	country_Netherlands	country_United Kingdom	country_Ukraine	country_Norway	country_Spain	country_Indonesia	country_Bosnia and Herzegovina	country_Malaysia	country_India	country_Bolivia	country_Hungary	country_Slovakia	country_Ecuador	country_Colombia	country_Sweden	country_Bulgaria	country_Portugal	country_Croatia	country_Sri Lanka	country_Singapore	country_Austria	country_Chile	country_Greece	country_Switzerland	country_Cuba	country_Guatemala	country_Ireland	country_Qatar	country_Panama	country_Iran	country_Armenia	country_Syria	country_Argentina	country_Morocco	country_Venezuela	country_Malta	country_Bangladesh	country_China	country_Iceland	country_Uzbekistan	country_El Salvador	country_Philippines	country_Moldova	country_Belgium	country_Romania	country_South Africa	country_Costa Rica	country_Denmark	country_Peru	country_Nicaragua	country_New Zealand	country_Serbia	country_Puerto Rico	country_Israel	country_Georgia	country_Kenya	country_Paraguay	country_Maldives	country_Latvia	country_Pakistan	country_North Macedonia	country_Kazakhstan	country_Lithuania	country_Honduras	country_Korea, South	country_Estonia	country_Luxembourg	country_Slovenia	country_Vietnam	country_Lebanon	country_Saudi Arabia	country_Iraq	country_Uruguay	country_Dominican Republic	country_Brunei	country_Taiwan	country_Trinidad and Tobago	country_Cyprus	country_Nepal	country_Oman	country_Cambodia	country_Jordan	country_Hong Kong	country_Saint Pierre and Miquelon	country_Tunisia	country_Algeria	country_Mongolia	country_United Arab Emirates	country_Belize	country_Bahrain	country_Montenegro	country_Jamaica	country_Albania	country_Egypt	country_Guyana	country_Myanmar	country_Barbados	country_Kyrgyzstan	country_Gibraltar	country_Guernsey	country_Mozambique	country_Andorra	country_Tajikistan	country_Libya	country_Turkmenistan	country_Azerbaijan	country_Monaco	country_Madagascar	country_Laos	country_Faroe Islands	country_Åland Islands	country_Angola	country_Guam	country_Kuwait	country_Greenland	country_Ethiopia	country_Jersey	country_Reunion	country_Svalbard	country_Curaçao	country_Liechtenstein	country_French Polynesia	country_Palestine	country_Aruba	country_San Marino	country_Falkland Islands	country_Suriname	country_New Caledonia	country_Botswana	country_Mauritius	country_Namibia	country_East Timor	country_Zimbabwe	country_Afghanistan	country_Guadeloupe	country_Uganda	country_French Guiana	country_Isle of Man	country_Malawi	country_Zambia	max_degree_id	max_degree_name	max_degree_url	max_degree_cluster	average_degree	endbranch_count	assortativity	clustering	density
657	0	10483	2315.0	0.22	5172.0	0.49	1280.0	0.12	86.0	0.01	155.0	0.01	90.0	0.01	104.0	0.01	627.0	0.06	556.0	0.05	858.0	0.08	1497.0	0.14	417.0	0.04	778.0	0.07	153.0	0.01	190.0	0.02	2192.0	0.21	0.0	0.0	9953	424	70	22	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	76	13	9807	12	0	1	0	13	22	21	5	0	13	9	55	18	44	3	6	1	0	0	0	0	0	0	6	27	1	11	0	2	0	0	5	7	6	3	10	0	3	1	0	3	0	7	1	55	0	2	0	0	3	0	0	0	0	0	2	0	29	0	1	0	0	0	0	44	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	2	0	0	0	1	9	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	74954	The Faceless	https://www.metal-archives.com/bands/The_Faceless/74954	165	8.03	1399	0.2790846787425617	0.5229770979102468	0.0007658159002601371
657	1	6848	1893.0	0.28	2745.0	0.4	525.0	0.08	43.0	0.01	49.0	0.01	236.0	0.03	258.0	0.04	227.0	0.03	265.0	0.04	870.0	0.13	694.0	0.1	390.0	0.06	396.0	0.06	151.0	0.02	126.0	0.02	1452.0	0.21	0.0	0.0	6717	126	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	61	34	8	1	31	4	4	5	0	0	2	9	6161	4	38	4	1	0	0	0	0	1	0	18	6	1	0	18	3	2	8	0	0	42	1	14	19	0	0	0	0	0	9	0	8	0	0	6	0	0	0	0	0	0	0	0	7	2	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	0	0	171	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191	Andras	https://www.metal-archives.com/bands/Andras/3191	71	6.21	929	0.2747630847924238	0.49012174564115907	0.0009063250294487387
657	2	6776	227.0	0.03	932.0	0.14	353.0	0.05	61.0	0.01	37.0	0.01	49.0	0.01	132.0	0.02	33.0	0.0	448.0	0.07	2911.0	0.43	366.0	0.05	1248.0	0.18	1037.0	0.15	292.0	0.04	154.0	0.02	1566.0	0.23	0.0	0.0	6128	484	107	38	14	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	185	86	27	2988	114	5	13	3	10	17	4	1	0	17	101	1199	23	421	3	47	23	1	2	0	0	0	4	14	0	4	936	5	0	3	0	3	13	2	25	116	0	0	7	0	0	1	0	0	8	0	1	0	0	1	2	0	0	1	0	22	3	2	2	127	0	0	4	4	0	3	0	0	2	0	1	0	0	0	0	0	3	1	0	13	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	0	9	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	Yngwie Malmsteen	https://www.metal-archives.com/bands/Yngwie_Malmsteen/84	254	9.78	985	0.21621431375896755	0.48996344292687277	0.0014433402893651132
657	3	6267	1661.0	0.27	1911.0	0.3	621.0	0.1	87.0	0.01	69.0	0.01	150.0	0.02	294.0	0.05	185.0	0.03	221.0	0.04	958.0	0.15	336.0	0.05	521.0	0.08	663.0	0.11	129.0	0.02	291.0	0.05	1179.0	0.19	0.0	0.0	5956	277	29	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	7	55	5673	2	4	3	15	5	4	0	0	5	36	26	3	51	3	5	12	0	0	0	1	0	0	13	0	0	14	3	1	0	0	0	20	0	8	28	1	0	1	0	0	2	0	0	9	0	2	68	1	1	0	0	0	0	0	3	2	2	0	1	0	0	16	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14662	Infernal Angels	https://www.metal-archives.com/bands/Infernal_Angels/14662	134	8.11	698	0.247051215633412	0.48800404428971156	0.0012950156996525148
657	4	6145	1809.0	0.29	2099.0	0.34	487.0	0.08	18.0	0.0	28.0	0.0	94.0	0.02	114.0	0.02	249.0	0.04	214.0	0.03	871.0	0.14	184.0	0.03	333.0	0.05	284.0	0.05	152.0	0.02	142.0	0.02	1517.0	0.25	0.0	0.0	5782	326	27	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5614	16	1	59	6	9	2	0	0	9	86	0	0	2	17	36	1	58	0	3	17	0	0	0	0	0	2	0	0	2	3	0	10	0	0	0	0	3	10	5	111	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3540360304	Orgia Nuclear	https://www.metal-archives.com/bands/Orgia_Nuclear/3540360304	136	8.27	708	0.31125281868027055	0.49184492272493985	0.0013467927854624356
657	5	5820	2248.0	0.39	2128.0	0.37	472.0	0.08	104.0	0.02	88.0	0.02	185.0	0.03	183.0	0.03	187.0	0.03	239.0	0.04	589.0	0.1	508.0	0.09	190.0	0.03	443.0	0.08	81.0	0.01	233.0	0.04	874.0	0.15	0.0	0.0	5565	232	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	37	4	136	68	7	2	1	4	5	20	0	1	5	3486	563	6	49	10	12	17	0	0	0	0	0	0	2	0	2	5	2	1	0	0	0	873	0	6	313	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	10	0	0	0	1	0	0	0	20	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3752	Benighted	https://www.metal-archives.com/bands/Benighted/3752	93	7.35	798	0.3409172017435168	0.5249212620632386	0.0012637237063795636
657	6	4930	1120.0	0.23	1838.0	0.37	838.0	0.17	69.0	0.01	60.0	0.01	100.0	0.02	79.0	0.02	209.0	0.04	284.0	0.06	598.0	0.12	555.0	0.11	168.0	0.03	328.0	0.07	52.0	0.01	104.0	0.02	939.0	0.19	0.0	0.0	4724	181	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	40	2	150	35	42	3	1	7	29	2	0	0	1	37	81	12	3667	1	9	23	1	0	0	6	0	7	10	2	3	61	0	8	0	0	0	82	1	9	64	0	0	294	1	0	8	0	0	3	0	18	3	0	0	0	0	0	0	0	17	0	4	0	3	0	0	3	1	0	0	0	0	0	0	6	1	0	0	1	1	0	1	0	0	0	0	0	8	0	0	0	1	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3382	Hellbastard	https://www.metal-archives.com/bands/Hellbastard/3382	95	7.53	624	0.29280351954312306	0.5292556378019978	0.0015283146440098485
657	7	4750	1435.0	0.3	1714.0	0.36	568.0	0.12	70.0	0.01	58.0	0.01	357.0	0.08	214.0	0.05	191.0	0.04	197.0	0.04	591.0	0.12	353.0	0.07	257.0	0.05	273.0	0.06	40.0	0.01	300.0	0.06	600.0	0.13	0.0	0.0	4441	184	29	32	43	14	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	9	17	5	14	1	0	3221	7	6	288	0	0	5	8	1	7	952	9	0	0	0	8	4	0	0	1	0	0	9	12	1	0	0	0	0	1	0	4	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	2	0	0	0	0	1	9	0	0	0	0	1	1	0	1	5	0	0	0	2	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3540282047	Путь Солнца	https://www.metal-archives.com/bands/%D0%9F%D1%83%D1%82%D1%8C_%D0%A1%D0%BE%D0%BB%D0%BD%D1%86%D0%B0/3540282047	183	9.72	599	0.6423412942103938	0.5150884406979146	0.0020473673127860714
657	8	4298	1213.0	0.28	1650.0	0.38	492.0	0.11	50.0	0.01	52.0	0.01	125.0	0.03	192.0	0.04	115.0	0.03	201.0	0.05	605.0	0.14	227.0	0.05	246.0	0.06	285.0	0.07	81.0	0.02	152.0	0.04	651.0	0.15	0.0	0.0	3915	329	45	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	66	1	0	4010	1	10	12	6	0	0	1	2	21	3	13	1	9	3	0	0	0	0	0	1	0	2	0	51	0	2	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	1	1	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3231	Horna	https://www.metal-archives.com/bands/Horna/3231	120	10.28	328	0.2861673530080138	0.5272289694748922	0.002392397089401817
657	9	4145	1189.0	0.29	1880.0	0.45	406.0	0.1	36.0	0.01	54.0	0.01	81.0	0.02	48.0	0.01	245.0	0.06	242.0	0.06	296.0	0.07	486.0	0.12	140.0	0.03	315.0	0.08	51.0	0.01	87.0	0.02	761.0	0.18	0.0	0.0	3909	216	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1149	3	188	15	1	2	1	8	2396	10	0	1	0	68	30	5	15	0	1	0	7	0	0	3	0	1	0	3	0	53	0	0	0	0	10	1	0	9	7	0	0	7	0	0	0	0	0	0	0	2	0	2	1	0	0	0	1	0	5	0	0	0	0	0	0	62	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	Deströyer 666	https://www.metal-archives.com/bands/Destr%C3%B6yer_666/223	83	8.31	495	0.32720406352223935	0.5317619388124468	0.0020042056531803213
657	10	4028	723.0	0.18	1195.0	0.3	296.0	0.07	28.0	0.01	20.0	0.0	119.0	0.03	116.0	0.03	176.0	0.04	227.0	0.06	1066.0	0.26	287.0	0.07	450.0	0.11	249.0	0.06	76.0	0.02	138.0	0.03	733.0	0.18	0.0	0.0	3857	160	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	30	22	3	0	0	0	2	3	0	0	0	112	36	0	23	0	18	3410	1	0	0	0	1	4	0	6	9	19	0	0	2	0	0	1	2	2	0	0	0	4	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	2	10	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	Avulsed	https://www.metal-archives.com/bands/Avulsed/982	86	7.23	519	0.34278925683654415	0.470022371331517	0.0017959705453925823
